,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,UNIQUE VALUES,,ASSEMBLER INST
OPP,OPP-0x43,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80010,,opp sign off
OPP,OPP-0x44,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8002,,opp sign on
OPP,OPP-0x45,,x,,,,,,,,,,,,,,,x,,,,,,10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80030,,opp 0
OPP,OPP-0x46,,x,,,,,,,,,,,,,,,x,,,,,,10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8004,,opp 1
OPP,OPP-0x47,,x,,,,,,,,,,,,,,,x,,,,,,10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80050,,opp -1
OPP,OPP-0x48,,x,,,,,,,,,,,,,,,x,,,,,,10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8008,,opp a
OPP,OPP-0x49,,,x,,,,,,,,,,,,,,,x,,,,,20004,1D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80090,,opp b
OPP,OPP-0x4A,,,,x,,,,,,,,,,,,,,,x,,,,40008,30,,,,,,,,,,,,,,,,,,,,,,,,,,0,,8010,,opp c
OPP,OPP-0x4B,,,,,x,,,,,,,,,,,,,,,x,,,80010,43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80110,,opp d
OPP,OPP-0x4C,,x,,,,,,,,,,,,,,,x,,,,,,10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80400,,opp ~a
OPP,OPP-0x4D,,,x,,,,,,,,,,,,,,,x,,,,,20004,1D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,82,,opp ~b
OPP,OPP-0x4E,,,,x,,,,,,,,,,,,,,,x,,,,40008,30,,,,,,,,,,,,,,,,,,,,,,,,,,0,,84,,opp ~c
OPP,OPP-0x4F,,,,,x,,,,,,,,,,,,,,,x,,,80010,43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,88,,opp ~d
OPP,OPP-0x50,,x,,,,,,,,,,,,,,,x,,,,,,10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,90,,opp -a
OPP,OPP-0x51,,,x,,,,,,,,,,,,,,,x,,,,,20004,1D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp -b
OPP,OPP-0x52,,,,x,,,,,,,,,,,,,,,x,,,,40008,30,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp -c
